date,numofpeopleintaiwan,numofpeopleothercountry
2013,11052908,"8,016,280"
2014,11844635,"9,910,204"
2015,13182976,"10,439,785"
2016,14588923,"10,690,279"
2017,15654579,"10,739,601"
2018,16644684,"11,066,707"
2019,17101335,"11,864,105"
2020,2335564,"1,377,861"
2021,359977,"140,479"
2022,1482821,"895,962"
